Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time,,DiffLat,DiffLon,DiffAlt,Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time
207,1c:b9:c4:14:62:48,Ariel_University,11,-69,32.10375692,35.20943654,696.8315529,03/12/2017 08:45,Approx. w-center algo1,0,0,0,43,1c:b9:c4:14:62:48,Ariel_University,11,-69,32.10375692,35.20943654,696.8315529,03/12/2017 08:40
130,1c:b9:c4:14:62:4c,Ariel_University,36,-74,32.10457103,35.2096085,692.8918491,03/12/2017 08:40,Approx. w-center algo1,0,0,0,19,1c:b9:c4:14:62:4c,Ariel_University,36,-74,32.10457103,35.2096085,692.8918491,03/12/2017 08:40
230,1c:b9:c4:15:1b:88,Ariel_University,11,-81,32.102086,35.20928814,690.0247298,03/12/2017 08:50,Approx. w-center algo1,0,0,0,230,1c:b9:c4:15:1b:88,Ariel_University,11,-81,32.102086,35.20928814,690.0247298,03/12/2017 08:41
313,1c:b9:c4:15:1b:8c,Ariel_University,58,-87,32.10202729,35.20947063,690.8338173,03/12/2017 08:50,Approx. w-center algo1,0,0,0,204,1c:b9:c4:15:1b:8c,Ariel_University,58,-87,32.10202729,35.20947063,690.8338173,03/12/2017 08:41
389,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.10362743,35.20942786,702.2091647,03/12/2017 09:07,Approx. w-center algo1,0.00027091,0.00010633,-0.4651983,411,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.10335652,35.20932153,702.674363,03/12/2017 08:41
47,1c:b9:c4:15:1c:bc,Ariel_University,36,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46,Approx. w-center algo1,0,0,0,390,1c:b9:c4:15:1c:bc,Ariel_University,36,-90,32.10338816,35.20978021,713.0579803,03/12/2017 08:46
340,1c:b9:c4:15:1e:68,Ariel_University,1,-81,32.10278633,35.21004341,691.9949333,03/12/2017 08:42,Approx. w-center algo1,0,0,0,32,1c:b9:c4:15:1e:68,Ariel_University,1,-81,32.10278633,35.21004341,691.9949333,03/12/2017 08:41
330,1c:b9:c4:15:1e:6c,Ariel_University,36,-89,32.10251279,35.20963303,693.2846435,03/12/2017 08:41,Approx. w-center algo1,0,0,0,11,1c:b9:c4:15:1e:6c,Ariel_University,36,-89,32.10251279,35.20963303,693.2846435,03/12/2017 08:41
312,1c:b9:c4:15:20:38,Ariel_University,11,-82,32.10481947,35.21014194,697.8852428,03/12/2017 08:53,Approx. w-center algo1,0,0,0,297,1c:b9:c4:15:20:38,Ariel_University,11,-82,32.10481947,35.21014194,697.8852428,03/12/2017 08:40
57,1c:b9:c4:15:23:58,Ariel_University,6,-78,32.10405247,35.20912685,689.9727887,03/12/2017 08:50,Approx. w-center algo1,0,0,0,38,1c:b9:c4:15:23:58,Ariel_University,6,-78,32.10405247,35.20912685,689.9727887,03/12/2017 08:41
35,1c:b9:c4:15:23:5c,Ariel_University,36,-91,32.1040793,35.20894494,693.2106003,03/12/2017 08:41,Approx. w-center algo1,0,0,0,16,1c:b9:c4:15:23:5c,Ariel_University,36,-91,32.1040793,35.20894494,693.2106003,03/12/2017 08:41
82,1c:b9:c4:15:25:48,Ariel_University,1,-72,32.10469337,35.20991503,701.7923476,03/12/2017 08:45,Approx. w-center algo1,0,0,0,200,1c:b9:c4:15:25:48,Ariel_University,1,-72,32.10469337,35.20991503,701.7923476,03/12/2017 08:40
74,1c:b9:c4:15:25:4c,Ariel_University,44,-87,32.10474846,35.21005988,687,03/12/2017 08:45,Approx. w-center algo1,0,0,0,177,1c:b9:c4:15:25:4c,Ariel_University,44,-87,32.10474846,35.21005988,687,03/12/2017 08:45
110,1c:b9:c4:15:34:b8,Ariel_University,6,-92,32.10493192,35.21025667,692.7030959,03/12/2017 08:40,Approx. w-center algo1,0,0,0,161,1c:b9:c4:15:34:b8,Ariel_University,6,-92,32.10493192,35.21025667,692.7030959,03/12/2017 08:40
212,1c:b9:c4:15:34:bc,Ariel_University,36,-90,32.1049281,35.21028241,722.9373547,03/12/2017 08:45,Approx. w-center algo1,0,0,0,140,1c:b9:c4:15:34:bc,Ariel_University,36,-90,32.1049281,35.21028241,722.9373547,03/12/2017 08:45
145,1c:b9:c4:15:36:98,Ariel_University,1,-81,32.10515115,35.21116458,700.3504653,03/12/2017 08:44,Approx. w-center algo1,0,0,0,149,1c:b9:c4:15:36:98,Ariel_University,1,-81,32.10515115,35.21116458,700.3504653,03/12/2017 08:39
124,1c:b9:c4:15:36:9c,Ariel_University,36,-82,32.10519176,35.21121997,703.6200349,03/12/2017 08:44,Approx. w-center algo1,0,0,0,131,1c:b9:c4:15:36:9c,Ariel_University,36,-82,32.10519176,35.21121997,703.6200349,03/12/2017 08:39
76,1c:b9:c4:15:3a:28,Ariel_University,1,-87,32.10544864,35.21192983,691.5885471,03/12/2017 08:39,Approx. w-center algo1,0,0,0,205,1c:b9:c4:15:3a:28,Ariel_University,1,-87,32.10544864,35.21192983,691.5885471,03/12/2017 08:39
103,1c:b9:c4:15:3a:2c,Ariel_University,36,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39,Approx. w-center algo1,0,0,0,183,1c:b9:c4:15:3a:2c,Ariel_University,36,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39
85,1c:b9:c4:15:3a:38,Ariel_University,11,-74,32.10203099,35.20951543,699.432782,03/12/2017 08:54,Approx. w-center algo1,0,0,0,190,1c:b9:c4:15:3a:38,Ariel_University,11,-74,32.10203099,35.20951543,699.432782,03/12/2017 08:41
11,1c:b9:c4:15:3a:3c,Ariel_University,44,-82,32.1020492,35.20957634,691.3318336,03/12/2017 08:41,Approx. w-center algo1,0,0,0,164,1c:b9:c4:15:3a:3c,Ariel_University,44,-82,32.1020492,35.20957634,691.3318336,03/12/2017 08:41
135,1c:b9:c4:15:3d:58,Ariel_University,11,-69,32.10203,35.20952677,696.2765809,03/12/2017 08:46,Approx. w-center algo1,0,0,0,344,1c:b9:c4:15:3d:58,Ariel_University,11,-69,32.10203,35.20952677,696.2765809,03/12/2017 08:41
149,1c:b9:c4:15:3d:5c,Ariel_University,36,-82,32.10199322,35.20956991,690.6407659,03/12/2017 08:46,Approx. w-center algo1,0,0,0,326,1c:b9:c4:15:3d:5c,Ariel_University,36,-82,32.10199322,35.20956991,690.6407659,03/12/2017 08:41
159,1c:b9:c4:15:3d:68,Ariel_University,6,-78,32.10307001,35.21007391,694.8208555,03/12/2017 09:04,Approx. w-center algo1,0,0,0,329,1c:b9:c4:15:3d:68,Ariel_University,6,-78,32.10307001,35.21007391,694.8208555,03/12/2017 08:42
286,1c:b9:c4:15:3d:6c,Ariel_University,44,-87,32.10264502,35.20989781,696.5341776,03/12/2017 09:04,Approx. w-center algo1,0,0,0,311,1c:b9:c4:15:3d:6c,Ariel_University,44,-87,32.10264502,35.20989781,696.5341776,03/12/2017 08:42
234,1c:b9:c4:15:41:78,Ariel_University,1,-73,32.10436744,35.21113946,699.2536022,03/12/2017 08:47,Approx. w-center algo1,0,0,0,250,1c:b9:c4:15:41:78,Ariel_University,1,-73,32.10436744,35.21113946,699.2536022,03/12/2017 08:40
255,1c:b9:c4:15:41:7c,Ariel_University,44,-78,32.10416345,35.21100125,696.2173924,03/12/2017 08:42,Approx. w-center algo1,0,0,0,220,1c:b9:c4:15:41:7c,Ariel_University,44,-78,32.10416345,35.21100125,696.2173924,03/12/2017 08:42
267,1c:b9:c4:15:42:68,Ariel_University,11,-79,32.10476614,35.21034427,690.6953217,03/12/2017 08:40,Approx. w-center algo1,0,0,0,321,1c:b9:c4:15:42:68,Ariel_University,11,-79,32.10476614,35.21034427,690.6953217,03/12/2017 08:39
374,1c:b9:c4:15:42:6c,Ariel_University,48,-86,32.10538233,35.21037992,690.5953548,03/12/2017 08:40,Approx. w-center algo1,0,0,0,299,1c:b9:c4:15:42:6c,Ariel_University,48,-86,32.10538233,35.21037992,690.5953548,03/12/2017 08:38
39,1c:b9:c4:15:43:e8,Ariel_University,1,-75,32.10240544,35.20907081,700.546477,03/12/2017 08:46,Approx. w-center algo1,0,0,0,8,1c:b9:c4:15:43:e8,Ariel_University,1,-75,32.10240544,35.20907081,700.546477,03/12/2017 08:41
175,1c:b9:c4:15:43:ec,Ariel_University,36,-86,32.10229863,35.2092261,706.4003318,03/12/2017 08:54,Approx. w-center algo1,0,0,0,402,1c:b9:c4:15:43:ec,Ariel_University,36,-86,32.10229863,35.2092261,706.4003318,03/12/2017 08:46
408,1c:b9:c4:15:44:58,Ariel_University,11,-67,32.10495411,35.21055107,707.7397523,03/12/2017 08:45,Approx. w-center algo1,0,0,0,47,1c:b9:c4:15:44:58,Ariel_University,11,-67,32.10495411,35.21055107,707.7397523,03/12/2017 08:38
333,1c:b9:c4:15:44:5c,Ariel_University,44,-73,32.10492944,35.21036102,706.1539739,03/12/2017 08:45,Approx. w-center algo1,0,0,0,24,1c:b9:c4:15:44:5c,Ariel_University,44,-73,32.10492944,35.21036102,706.1539739,03/12/2017 08:38
356,1c:b9:c4:15:44:88,Ariel_University,6,-72,32.10463292,35.21132634,694.1890037,03/12/2017 08:48,Approx. w-center algo1,0,0,0,3,1c:b9:c4:15:44:88,Ariel_University,6,-72,32.10463292,35.21132634,694.1890037,03/12/2017 08:40
366,1c:b9:c4:15:44:8c,Ariel_University,36,-87,32.10473151,35.21119392,695.5510738,03/12/2017 08:42,Approx. w-center algo1,0,0,0,396,1c:b9:c4:15:44:8c,Ariel_University,36,-87,32.10473151,35.21119392,695.5510738,03/12/2017 08:40
328,1c:b9:c4:15:ec:38,Ariel_University,6,-67,32.1030776,35.2098222,696.3237417,03/12/2017 09:03,Approx. w-center algo1,0,0,0,134,1c:b9:c4:15:ec:38,Ariel_University,6,-67,32.1030776,35.2098222,696.3237417,03/12/2017 08:42
396,1c:b9:c4:15:ec:3c,Ariel_University,36,-78,32.10296665,35.20967465,699.7362751,03/12/2017 09:04,Approx. w-center algo1,0,0,0,111,1c:b9:c4:15:ec:3c,Ariel_University,36,-78,32.10296665,35.20967465,699.7362751,03/12/2017 08:42
410,1c:b9:c4:15:ed:38,Ariel_University,6,-75,32.10408628,35.21086948,699.8973273,03/12/2017 08:51,Approx. w-center algo1,0,0,0,195,1c:b9:c4:15:ed:38,Ariel_University,6,-75,32.10408628,35.21086948,699.8973273,03/12/2017 08:42
391,1c:b9:c4:15:ed:3c,Ariel_University,36,-82,32.10414685,35.21080078,704.4425966,03/12/2017 08:47,Approx. w-center algo1,0,0,0,173,1c:b9:c4:15:ed:3c,Ariel_University,36,-82,32.10414685,35.21080078,704.4425966,03/12/2017 08:42
383,1c:b9:c4:15:ed:48,Ariel_University,1,-78,32.10479589,35.21142801,691.4023507,03/12/2017 08:40,Approx. w-center algo1,0,0,0,181,1c:b9:c4:15:ed:48,Ariel_University,1,-78,32.10479589,35.21142801,691.4023507,03/12/2017 08:40
265,1c:b9:c4:15:ed:4c,Ariel_University,44,-88,32.10486749,35.21138015,690.8633013,03/12/2017 08:40,Approx. w-center algo1,0,0,0,153,1c:b9:c4:15:ed:4c,Ariel_University,44,-88,32.10486749,35.21138015,690.8633013,03/12/2017 08:40
282,1c:b9:c4:15:ed:78,Ariel_University,6,-74,32.10229388,35.20954708,698.7373783,03/12/2017 08:46,Approx. w-center algo1,0,0,0,130,1c:b9:c4:15:ed:78,Ariel_University,6,-74,32.10229388,35.20954708,698.7373783,03/12/2017 08:41
231,1c:b9:c4:15:ed:7c,Ariel_University,60,-83,32.10199116,35.20958211,691.3292747,03/12/2017 08:41,Approx. w-center algo1,0,0,0,108,1c:b9:c4:15:ed:7c,Ariel_University,60,-83,32.10199116,35.20958211,691.3292747,03/12/2017 08:41
119,1c:b9:c4:15:ed:b8,IT-MNG,1,-82,32.10336184,35.20975078,700.4082398,03/12/2017 09:05,Approx. w-center algo1,0,0,0,245,1c:b9:c4:15:ed:b8,IT-MNG,1,-82,32.10336184,35.20975078,700.4082398,03/12/2017 08:42
203,1c:b9:c4:15:ed:bc,IT-MNG,48,-85,32.1034255,35.20978696,702,03/12/2017 09:07,Approx. w-center algo1,0,0,0,215,1c:b9:c4:15:ed:bc,IT-MNG,48,-85,32.1034255,35.20978696,702,03/12/2017 09:07
316,1c:b9:c4:15:fd:48,Ariel_University,1,-78,32.10369603,35.20938219,699.0281718,03/12/2017 08:50,Approx. w-center algo1,0,0,0,148,1c:b9:c4:15:fd:48,Ariel_University,1,-78,32.10369603,35.20938219,699.0281718,03/12/2017 08:41
401,1c:b9:c4:15:fd:4c,Ariel_University,36,-88,32.10412578,35.20939884,707.6104209,03/12/2017 08:41,Approx. w-center algo1,0,0,0,127,1c:b9:c4:15:fd:4c,Ariel_University,36,-88,32.10412578,35.20939884,707.6104209,03/12/2017 08:41
116,1c:b9:c4:15:fd:e8,IT-MNG,11,-82,32.10534577,35.2116931,691.3431389,03/12/2017 08:39,Approx. w-center algo1,0,0,0,156,1c:b9:c4:15:fd:e8,IT-MNG,11,-82,32.10534577,35.2116931,691.3431389,03/12/2017 08:39
121,1c:b9:c4:15:fd:ec,Ariel_University,40,-76,32.10533712,35.21185989,691.9964341,03/12/2017 08:39,Approx. w-center algo1,0,0,0,137,1c:b9:c4:15:fd:ec,Ariel_University,40,-76,32.10533712,35.21185989,691.9964341,03/12/2017 08:39
191,1c:b9:c4:16:04:78,Ariel_University,11,-72,32.10229757,35.20942352,693.1958479,03/12/2017 08:46,Approx. w-center algo1,0,0,0,95,1c:b9:c4:16:04:78,Ariel_University,11,-72,32.10229757,35.20942352,693.1958479,03/12/2017 08:41
14,1c:b9:c4:16:04:7c,Ariel_University,60,-81,32.10227174,35.20927736,704.3875712,03/12/2017 08:54,Approx. w-center algo1,0,0,0,66,1c:b9:c4:16:04:7c,Ariel_University,60,-81,32.10227174,35.20927736,704.3875712,03/12/2017 08:46
206,1c:b9:c4:16:05:38,Ariel_University,11,-71,32.10469105,35.20991404,694.9376368,03/12/2017 08:50,Approx. w-center algo1,0,0,0,239,1c:b9:c4:16:05:38,Ariel_University,11,-71,32.10469105,35.20991404,694.9376368,03/12/2017 08:38
198,1c:b9:c4:16:05:3c,Ariel_University,36,-78,32.10461736,35.2094376,695.5120297,03/12/2017 08:40,Approx. w-center algo1,0,0,0,210,1c:b9:c4:16:05:3c,Ariel_University,36,-78,32.10461736,35.2094376,695.5120297,03/12/2017 08:38
56,1c:b9:c4:16:05:78,Ariel_University,6,-78,32.10471077,35.21030982,700.7059115,03/12/2017 08:45,Approx. w-center algo1,0,0,0,163,1c:b9:c4:16:05:78,Ariel_University,6,-78,32.10471077,35.21030982,700.7059115,03/12/2017 08:39
28,1c:b9:c4:16:05:7c,Ariel_University,36,-89,32.10488923,35.21099027,704.6990103,03/12/2017 08:45,Approx. w-center algo1,0,0,0,142,1c:b9:c4:16:05:7c,Ariel_University,36,-89,32.10488923,35.21099027,704.6990103,03/12/2017 08:40
399,1c:b9:c4:16:06:b8,Ariel_University,11,-63,32.10379567,35.21013518,707.1074486,03/12/2017 09:06,Approx. w-center algo1,0.00011286,0.00010171,-1.3670383,332,1c:b9:c4:16:06:b8,Ariel_University,11,-63,32.10368281,35.21003347,708.4744869,03/12/2017 08:42
250,1c:b9:c4:16:06:bc,Ariel_University,48,-67,32.10382473,35.2101653,706.2915399,03/12/2017 09:06,Approx. w-center algo1,0,0,0,313,1c:b9:c4:16:06:bc,Ariel_University,48,-67,32.10382473,35.2101653,706.2915399,03/12/2017 08:42
276,1c:b9:c4:16:06:e8,Ariel_University,11,-84,32.10584273,35.21021078,688.5965322,03/12/2017 08:39,Approx. w-center algo1,0,0,0,289,1c:b9:c4:16:06:e8,Ariel_University,11,-84,32.10584273,35.21021078,688.5965322,03/12/2017 08:38
269,1c:b9:c4:16:06:ec,Ariel_University,44,-83,32.10604981,35.21091908,688.7622466,03/12/2017 08:39,Approx. w-center algo1,0,0,0,276,1c:b9:c4:16:06:ec,Ariel_University,44,-83,32.10604981,35.21091908,688.7622466,03/12/2017 08:39
143,1c:b9:c4:16:11:a8,Ariel_University,1,-76,32.10244982,35.20909432,695.5259023,03/12/2017 08:41,Approx. w-center algo1,0,0,0,405,1c:b9:c4:16:11:a8,Ariel_University,1,-76,32.10244982,35.20909432,695.5259023,03/12/2017 08:41
181,1c:b9:c4:16:11:ac,Ariel_University,44,-83,32.10256673,35.20898125,701.1302197,03/12/2017 08:41,Approx. w-center algo1,0,0,0,381,1c:b9:c4:16:11:ac,Ariel_University,44,-83,32.10256673,35.20898125,701.1302197,03/12/2017 08:41
3,1c:b9:c4:16:12:e8,Ariel_University,1,-90,32.1035812,35.20879533,702.3207687,03/12/2017 08:45,Approx. w-center algo1,0,0,0,403,1c:b9:c4:16:12:e8,Ariel_University,1,-90,32.1035812,35.20879533,702.3207687,03/12/2017 08:45
280,1c:b9:c4:16:13:08,Ariel_University,11,-80,32.10356597,35.20877573,697.2890669,03/12/2017 08:50,Approx. w-center algo1,0,0,0,124,1c:b9:c4:16:13:08,Ariel_University,11,-80,32.10356597,35.20877573,697.2890669,03/12/2017 08:41
242,1c:b9:c4:16:13:0c,Ariel_University,44,-89,32.10332615,35.20866419,692.4506545,03/12/2017 08:41,Approx. w-center algo1,0,0,0,93,1c:b9:c4:16:13:0c,Ariel_University,44,-89,32.10332615,35.20866419,692.4506545,03/12/2017 08:41
329,1c:b9:c4:16:1d:78,Ariel_University,1,-76,32.10389984,35.20924239,701.2910718,03/12/2017 08:50,Approx. w-center algo1,0,0,0,328,1c:b9:c4:16:1d:78,Ariel_University,1,-76,32.10389984,35.20924239,701.2910718,03/12/2017 08:41
344,1c:b9:c4:16:1d:7c,Ariel_University,44,-82,32.10380222,35.20943242,710.3086402,03/12/2017 08:45,Approx. w-center algo1,0,0,0,308,1c:b9:c4:16:1d:7c,Ariel_University,44,-82,32.10380222,35.20943242,710.3086402,03/12/2017 08:45
266,1c:b9:c4:16:28:e8,Ariel_University,1,-67,32.10365784,35.20878692,702.5219462,03/12/2017 08:50,Approx. w-center algo1,0,0,0,355,1c:b9:c4:16:28:e8,Ariel_University,1,-67,32.10365784,35.20878692,702.5219462,03/12/2017 08:41
284,1c:b9:c4:16:28:ec,Ariel_University,36,-70,32.10377212,35.20886,702.9172571,03/12/2017 08:41,Approx. w-center algo1,0,0,0,334,1c:b9:c4:16:28:ec,Ariel_University,36,-70,32.10377212,35.20886,702.9172571,03/12/2017 08:41
264,1c:b9:c4:16:28:f8,Ariel_University,6,-73,32.10260039,35.20908298,690.3743628,03/12/2017 08:46,Approx. w-center algo1,0,0,0,340,1c:b9:c4:16:28:f8,Ariel_University,6,-73,32.10260039,35.20908298,690.3743628,03/12/2017 08:37
235,1c:b9:c4:16:28:fc,Ariel_University,36,-78,32.10237157,35.2089018,701.5495691,03/12/2017 08:54,Approx. w-center algo1,0,0,0,318,1c:b9:c4:16:28:fc,Ariel_University,36,-78,32.10237157,35.2089018,701.5495691,03/12/2017 08:41
409,1c:b9:c4:16:2b:e8,Ariel_University,6,-83,32.10471325,35.21063564,691.339528,03/12/2017 08:57,Approx. w-center algo1,1.353E-05,0.0002519,0.9764014,237,1c:b9:c4:16:2b:e8,Ariel_University,6,-83,32.10469972,35.21038374,690.3631266,03/12/2017 08:39
386,1c:b9:c4:16:2b:ec,Ariel_University,36,-91,32.10508385,35.21105177,723.7793961,03/12/2017 08:44,Approx. w-center algo1,0,0,0,207,1c:b9:c4:16:2b:ec,Ariel_University,36,-91,32.10508385,35.21105177,723.7793961,03/12/2017 08:44
245,1c:b9:c4:16:2d:e8,Ariel_University,11,-77,32.10496118,35.21056454,691.0373018,03/12/2017 08:45,Approx. w-center algo1,0,0,0,353,1c:b9:c4:16:2d:e8,Ariel_University,11,-77,32.10496118,35.21056454,691.0373018,03/12/2017 08:40
237,1c:b9:c4:16:2d:ec,Ariel_University,36,-85,32.10493192,35.21025667,692.7030959,03/12/2017 08:40,Approx. w-center algo1,0,0,0,333,1c:b9:c4:16:2d:ec,Ariel_University,36,-85,32.10493192,35.21025667,692.7030959,03/12/2017 08:40
300,1c:b9:c4:16:cc:d8,Ariel_University,1,-83,32.1041741,35.20908661,691.6582551,03/12/2017 08:41,Approx. w-center algo1,0,0,0,151,1c:b9:c4:16:cc:d8,Ariel_University,1,-83,32.1041741,35.20908661,691.6582551,03/12/2017 08:41
303,1c:b9:c4:16:cc:dc,Ariel_University,36,-90,32.10374536,35.20874764,692.9018041,03/12/2017 08:41,Approx. w-center algo1,0,0,0,132,1c:b9:c4:16:cc:dc,Ariel_University,36,-90,32.10374536,35.20874764,692.9018041,03/12/2017 08:41
73,1c:b9:c4:16:cd:18,IT-MNG,1,-75,32.10576015,35.21206399,690.4608693,03/12/2017 08:39,Approx. w-center algo1,0,0,0,255,1c:b9:c4:16:cd:18,IT-MNG,1,-75,32.10576015,35.21206399,690.4608693,03/12/2017 08:39
93,1c:b9:c4:16:cd:1c,Ariel_University,36,-88,32.10578181,35.21207188,690.5323471,03/12/2017 08:39,Approx. w-center algo1,0,0,0,224,1c:b9:c4:16:cd:1c,Ariel_University,36,-88,32.10578181,35.21207188,690.5323471,03/12/2017 08:39
131,1c:b9:c4:16:cd:68,Ariel_University,11,-86,32.10441405,35.20788087,689.9496965,03/12/2017 08:38,Approx. w-center algo1,0,0,0,159,1c:b9:c4:16:cd:68,Ariel_University,11,-86,32.10441405,35.20788087,689.9496965,03/12/2017 08:38
